,STATENAME,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,MAN_COLLNAME,HIT_RUN,TOW_VEH,GVWRNAME,V_CONFIGNAME,CARGO_BTNAME,HAZ_INV,ROLLOVERNAME,DEFORMEDNAME,VTRAFWAYNAME,VNUM_LANNAME,VSPD_LIMNAME,VALIGNNAME,VPROFILENAME,VSURCONDNAME,ROUTENAME,RUR_URBNAME,FUNC_SYSNAME,LGT_CONDNAME,WEATHERNAME,FATALS,DRUNK_DR,INJ_SEV,INJ_SEVNAME
7,Alabama,10003,2,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,Downhill,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Cloudy,1,0,0,No Apparent Injury (O)
9,Alabama,10004,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Dump,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
11,Alabama,10006,1,2,1,Sideswipe - Same Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,70 MPH,Curve - Right,Downhill,Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,4,Fatal Injury (K)
12,Alabama,10006,2,2,1,Sideswipe - Same Direction,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Two lanes,70 MPH,Curve - Right,Downhill,Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
28,Alabama,10015,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Three lanes,45 MPH,Straight,Level,Dry,State Highway,Urban,Minor Arterial,Dark - Lighted,Clear,1,0,0,No Apparent Injury (O)
63,Alabama,10034,2,2,1,Front-to-Rear,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Cargo Tank,2,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Curve - Left,Level,Wet,State Highway,Rural,Major Collector,Daylight,Rain,1,0,0,No Apparent Injury (O)
82,Alabama,10044,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Curve - Left,Level,Dry,U.S. Highway,Rural,Minor Arterial,Daylight,Clear,1,0,0,No Apparent Injury (O)
92,Alabama,10050,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
105,Alabama,10055,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,2,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Minor Arterial,Dark - Lighted,Clear,2,1,0,No Apparent Injury (O)
198,Alabama,10100,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Four lanes,55 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Principal Arterial - Other,Daylight,Cloudy,1,1,0,No Apparent Injury (O)
